,Ciudad,genero,edad,SensaciónVisual,SensaciónVisualNormalizada,PreferenciaVisual,PreferenciaVisualNormalizado,SensaciónTérmica,SensaciónTérmicaNormalizada,PreferenciaTérmica,PreferenciaTérmicaNormalizado,EV_media,Rango_EV_media,TEMP,HUMEDAD
307,Armenia,F,20.0,0.0,1.0,-1.0,0.5,0.0,1.0,0.0,1.0,78.0,1.0,23.7,69.7
308,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,87.0,1.0,24.1,69.9
309,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,188.0,2.0,24.3,70.3
310,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,133.0,2.0,24.8,69.8
311,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,201.0,2.0,25.3,68.5
312,Armenia,M,24.0,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,469.0,3.0,24.3,70.3
313,Armenia,M,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,307.0,3.0,24.8,69.8
314,Armenia,M,24.0,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,283.0,2.0,25.4,68.3
315,Armenia,M,24.0,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,421.0,3.0,25.3,68.5
316,Armenia,F,23.0,-1.0,0.5,2.0,0.0,-2.0,0.33,1.0,0.67,151.0,2.0,23.7,69.7
317,Armenia,F,23.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,341.0,3.0,24.3,70.3
318,Armenia,M,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,63.0,1.0,23.7,69.7
319,Armenia,M,25.0,0.0,1.0,0.0,1.0,1.0,0.67,-3.0,0.0,56.0,1.0,24.1,69.9
320,Armenia,M,25.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,169.0,2.0,24.3,70.3
321,Armenia,M,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,96.0,1.0,24.8,69.8
322,Armenia,M,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,83.0,1.0,25.4,68.3
323,Armenia,M,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,156.0,2.0,25.3,68.5
324,Armenia,F,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,110.0,2.0,23.7,69.7
325,Armenia,F,22.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,110.0,2.0,24.1,69.9
326,Armenia,F,22.0,0.0,1.0,1.0,0.5,1.0,0.67,-1.0,0.67,306.0,3.0,24.3,70.3
327,Armenia,F,22.0,0.0,1.0,1.0,0.5,0.0,1.0,-2.0,0.33,165.0,2.0,24.8,69.8
328,Armenia,F,22.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,110.0,2.0,25.4,68.3
329,Armenia,F,22.0,0.0,1.0,1.0,0.5,0.0,1.0,-2.0,0.33,267.0,2.0,25.3,68.5
330,Armenia,F,21.0,0.0,1.0,0.0,1.0,-1.0,0.67,0.0,1.0,-14.0,1.0,23.7,69.7
331,Armenia,F,21.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,-7.0,1.0,24.1,69.9
332,Armenia,F,21.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,105.0,2.0,24.3,70.3
333,Armenia,F,21.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,21.0,1.0,24.8,69.8
334,Armenia,F,21.0,-1.0,0.5,1.0,0.5,-1.0,0.67,1.0,0.67,0.0,1.0,25.4,68.3
335,Armenia,F,21.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.67,91.0,1.0,25.3,68.5
336,Armenia,F,20.0,0.0,1.0,2.0,0.0,2.0,0.33,-3.0,0.0,1868.0,5.0,29.9,56.4
337,Armenia,F,20.0,0.0,1.0,1.0,0.5,2.0,0.33,-3.0,0.0,1884.0,5.0,30.3,55.6
338,Armenia,F,20.0,-1.0,0.5,0.0,1.0,2.0,0.33,-3.0,0.0,1731.0,5.0,30.5,54.2
339,Armenia,F,20.0,1.0,0.5,1.0,0.5,1.0,0.67,-3.0,0.0,567.0,4.0,30.2,55.7
340,Armenia,M,24.0,-2.0,0.0,2.0,0.0,0.0,1.0,-2.0,0.33,905.0,4.0,29.9,56.4
341,Armenia,M,24.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,900.0,4.0,30.2,55.8
342,Armenia,M,24.0,0.0,1.0,2.0,0.0,2.0,0.33,-2.0,0.33,981.0,4.0,30.3,55.6
343,Armenia,M,24.0,0.0,1.0,2.0,0.0,2.0,0.33,-2.0,0.33,921.0,4.0,30.5,54.2
344,Armenia,M,24.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,279.0,2.0,30.2,55.7
345,Armenia,F,23.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,291.0,2.0,29.9,56.4
346,Armenia,F,23.0,0.0,1.0,1.0,0.5,3.0,0.0,-3.0,0.0,295.0,2.0,30.2,55.8
347,Armenia,F,23.0,0.0,1.0,1.0,0.5,2.0,0.33,-3.0,0.0,311.0,3.0,30.3,55.6
348,Armenia,F,23.0,0.0,1.0,1.0,0.5,3.0,0.0,-3.0,0.0,315.0,3.0,30.5,54.2
349,Armenia,F,23.0,-1.0,0.5,1.0,0.5,3.0,0.0,-3.0,0.0,169.0,2.0,30.2,55.7
350,Armenia,F,19.0,1.0,0.5,2.0,0.0,1.0,0.67,-1.0,0.67,1471.0,5.0,29.9,56.4
351,Armenia,F,19.0,-1.0,0.5,2.0,0.0,2.0,0.33,-3.0,0.0,1417.0,5.0,30.2,55.8
352,Armenia,F,19.0,1.0,0.5,0.0,1.0,3.0,0.0,-3.0,0.0,1505.0,5.0,30.3,55.6
353,Armenia,F,19.0,1.0,0.5,0.0,1.0,3.0,0.0,-3.0,0.0,1260.0,5.0,30.5,54.2
354,Armenia,F,19.0,-1.0,0.5,1.0,0.5,1.0,0.67,-1.0,0.67,387.0,3.0,30.2,55.7
355,Armenia,M,36.0,-1.0,0.5,1.0,0.5,2.0,0.33,-3.0,0.0,568.0,4.0,29.9,56.4
356,Armenia,M,36.0,-2.0,0.0,2.0,0.0,2.0,0.33,-3.0,0.0,547.0,4.0,30.2,55.8
357,Armenia,M,36.0,-1.0,0.5,1.0,0.5,2.0,0.33,-3.0,0.0,617.0,4.0,30.3,55.6
358,Armenia,M,36.0,-1.0,0.5,1.0,0.5,2.0,0.33,-3.0,0.0,576.0,4.0,30.5,54.2
359,Armenia,M,36.0,-1.0,0.5,1.0,0.5,2.0,0.33,-3.0,0.0,185.0,2.0,30.2,55.7
360,Armenia,F,17.0,1.0,0.5,-1.0,0.5,0.0,1.0,0.0,1.0,314.0,3.0,29.9,56.4
361,Armenia,F,17.0,1.0,0.5,-1.0,0.5,1.0,0.67,1.0,0.67,327.0,3.0,30.2,55.8
362,Armenia,F,17.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,363.0,3.0,30.3,55.6
363,Armenia,F,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,349.0,3.0,30.5,54.2
364,Armenia,F,17.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,97.0,1.0,30.2,55.7
365,Armenia,M,19.0,1.0,0.5,0.0,1.0,2.0,0.33,-1.0,0.67,1168.0,5.0,29.9,56.4
366,Armenia,M,19.0,0.0,1.0,0.0,1.0,2.0,0.33,-1.0,0.67,1102.0,5.0,30.2,55.8
367,Armenia,M,19.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,1120.0,5.0,30.3,55.6
368,Armenia,M,19.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,1053.0,5.0,30.5,54.2
369,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,373.0,3.0,30.2,55.7
370,Armenia,F,20.0,0.0,1.0,0.0,1.0,1.0,0.67,-2.0,0.33,772.0,4.0,29.9,56.4
371,Armenia,F,20.0,0.0,1.0,0.0,1.0,2.0,0.33,-2.0,0.33,721.0,4.0,30.2,55.8
372,Armenia,F,20.0,-1.0,0.5,1.0,0.5,0.0,1.0,-2.0,0.33,973.0,4.0,30.3,55.6
373,Armenia,F,20.0,0.0,1.0,0.0,1.0,2.0,0.33,-2.0,0.33,855.0,4.0,30.5,54.2
374,Armenia,F,20.0,-1.0,0.5,1.0,0.5,0.0,1.0,-1.0,0.67,274.0,2.0,30.2,55.7
375,Armenia,F,18.0,-1.0,0.5,1.0,0.5,2.0,0.33,-3.0,0.0,315.0,3.0,29.9,56.4
376,Armenia,F,18.0,0.0,1.0,1.0,0.5,2.0,0.33,-3.0,0.0,322.0,3.0,30.2,55.8
377,Armenia,F,18.0,-1.0,0.5,1.0,0.5,1.0,0.67,-2.0,0.33,342.0,3.0,30.3,55.6
378,Armenia,F,18.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,322.0,3.0,30.5,54.2
379,Armenia,F,20.0,-1.0,0.5,1.0,0.5,2.0,0.33,-1.0,0.67,949.0,4.0,29.9,56.4
380,Armenia,F,20.0,-1.0,0.5,1.0,0.5,3.0,0.0,-2.0,0.33,964.0,4.0,30.2,55.8
381,Armenia,F,20.0,0.0,1.0,0.0,1.0,3.0,0.0,-2.0,0.33,957.0,4.0,30.3,55.6
382,Armenia,F,20.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,910.0,4.0,30.5,54.2
383,Armenia,F,20.0,-1.0,0.5,1.0,0.5,2.0,0.33,-1.0,0.67,196.0,2.0,30.2,55.7
384,Armenia,F,17.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,631.0,4.0,29.9,56.4
385,Armenia,F,17.0,1.0,0.5,0.0,1.0,2.0,0.33,-2.0,0.33,623.0,4.0,30.2,55.8
386,Armenia,F,17.0,1.0,0.5,0.0,1.0,3.0,0.0,-3.0,0.0,639.0,4.0,30.3,55.6
387,Armenia,F,17.0,1.0,0.5,0.0,1.0,2.0,0.33,-3.0,0.0,593.0,4.0,30.5,54.2
388,Armenia,F,17.0,1.0,0.5,0.0,1.0,1.0,0.67,-2.0,0.33,105.0,2.0,30.2,55.7
389,Armenia,M,29.0,0.0,1.0,0.0,1.0,2.0,0.33,-3.0,0.0,288.0,2.0,29.9,56.4
390,Armenia,M,29.0,0.0,1.0,0.0,1.0,2.0,0.33,-3.0,0.0,281.0,2.0,30.2,55.8
391,Armenia,M,29.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,316.0,3.0,30.3,55.6
392,Armenia,M,29.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,281.0,2.0,30.5,54.2
393,Armenia,M,29.0,0.0,1.0,0.0,1.0,2.0,0.33,-3.0,0.0,14.0,1.0,30.2,55.7
394,Manizales,F,21.0,1.0,0.5,0.0,1.0,-1.0,0.67,1.0,0.67,1383.0,5.0,23.8,61.8
395,Manizales,F,21.0,2.0,0.0,-1.0,0.5,0.0,1.0,0.0,1.0,1320.0,5.0,24.1,63.7
396,Manizales,F,21.0,1.0,0.5,-2.0,0.0,0.0,1.0,0.0,1.0,1389.0,5.0,24.1,64.7
397,Manizales,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,1553.0,5.0,24.1,65.2
398,Manizales,F,21.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,1297.0,5.0,24.3,64.1
399,Manizales,F,21.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,1395.0,5.0,24.7,62.4
400,Manizales,F,30.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,817.0,4.0,23.8,61.8
401,Manizales,F,30.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,778.0,4.0,24.1,63.7
402,Manizales,F,30.0,0.0,1.0,-1.0,0.5,1.0,0.67,-1.0,0.67,761.0,4.0,24.1,64.7
403,Manizales,F,30.0,0.0,1.0,-1.0,0.5,1.0,0.67,-1.0,0.67,878.0,4.0,24.1,65.2
404,Manizales,F,30.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,756.0,4.0,24.3,64.1
