,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
131,Cartagena,F,24.0,0.0,1.0,0.0,-1.0,1.0,2.0,27.5,52.6,1.00.02.0,-1.00.02.0
132,Cartagena,F,24.0,0.0,1.0,0.0,-1.0,2.0,2.0,27.6,50.7,1.00.02.0,-1.00.02.0
133,Cartagena,F,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,26.9,55.7,0.0-1.01.0,0.02.01.0
134,Cartagena,F,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,27.3,52.6,0.0-1.01.0,0.02.01.0
135,Cartagena,F,21.0,-1.0,0.0,1.0,0.0,1.0,1.0,27.6,53.2,0.0-1.01.0,0.01.01.0
136,Cartagena,F,21.0,0.0,0.0,2.0,0.0,1.0,1.0,27.5,52.6,0.00.01.0,0.02.01.0
137,Cartagena,F,21.0,0.0,0.0,2.0,0.0,1.0,1.0,27.6,50.7,0.00.01.0,0.02.01.0
138,Cartagena,F,21.0,0.0,0.0,2.0,0.0,1.0,1.0,27.9,51.1,0.00.01.0,0.02.01.0
139,Cartagena,M,18.0,0.0,-3.0,2.0,1.0,1.0,1.0,26.9,55.7,-3.00.01.0,1.02.01.0
140,Cartagena,M,18.0,0.0,-3.0,1.0,-1.0,1.0,1.0,27.3,52.6,-3.00.01.0,-1.01.01.0
141,Cartagena,M,18.0,0.0,-1.0,1.0,1.0,1.0,1.0,27.6,53.2,-1.00.01.0,1.01.01.0
142,Cartagena,M,18.0,0.0,-1.0,1.0,1.0,1.0,1.0,27.5,52.6,-1.00.01.0,1.01.01.0
143,Cartagena,M,18.0,0.0,-3.0,1.0,1.0,1.0,1.0,27.6,50.7,-3.00.01.0,1.01.01.0
144,Cartagena,M,18.0,0.0,-1.0,1.0,1.0,1.0,1.0,27.9,51.1,-1.00.01.0,1.01.01.0
145,Cartagena,F,17.0,0.0,0.0,2.0,0.0,1.0,1.0,27.3,52.9,0.00.01.0,0.02.01.0
146,Cartagena,F,17.0,0.0,-1.0,1.0,-1.0,1.0,1.0,27.6,50.8,-1.00.01.0,-1.01.01.0
147,Cartagena,F,17.0,-1.0,-1.0,2.0,-2.0,1.0,1.0,27.8,51.4,-1.0-1.01.0,-2.02.01.0
148,Cartagena,F,17.0,0.0,1.0,1.0,-2.0,1.0,1.0,27.7,50.2,1.00.01.0,-2.01.01.0
149,Cartagena,F,17.0,0.0,-1.0,0.0,-2.0,1.0,1.0,27.9,48.3,-1.00.01.0,-2.00.01.0
150,Cartagena,M,17.0,-1.0,1.0,1.0,-1.0,1.0,1.0,27.3,52.9,1.0-1.01.0,-1.01.01.0
151,Cartagena,M,17.0,0.0,0.0,0.0,-1.0,1.0,1.0,27.6,50.8,0.00.01.0,-1.00.01.0
152,Cartagena,M,17.0,0.0,0.0,0.0,-2.0,1.0,1.0,27.8,51.4,0.00.01.0,-2.00.01.0
153,Cartagena,M,17.0,0.0,0.0,0.0,-1.0,1.0,1.0,27.7,50.2,0.00.01.0,-1.00.01.0
154,Cartagena,M,17.0,0.0,0.0,0.0,-2.0,1.0,1.0,27.9,48.3,0.00.01.0,-2.00.01.0
155,Cartagena,M,17.0,0.0,0.0,0.0,-2.0,1.0,1.0,28.1,48.9,0.00.01.0,-2.00.01.0
156,Cartagena,M,18.0,-1.0,0.0,1.0,-1.0,1.0,1.0,27.3,52.9,0.0-1.01.0,-1.01.01.0
157,Cartagena,M,18.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,27.6,50.8,-1.0-1.01.0,-2.01.01.0
158,Cartagena,M,18.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,27.8,51.4,-1.0-1.01.0,-2.01.01.0
159,Cartagena,M,18.0,-1.0,0.0,1.0,-1.0,1.0,1.0,27.7,50.2,0.0-1.01.0,-1.01.01.0
